组合类型,ICBC,YILI,ZTE,YUNNAN,SINOPEC,年化收益,年化波动,夏普比率
等权重组合,0.2,0.2,0.2,0.2,0.2,0.05980416153123292,0.14840169365462202,0.23452671377345113
最小方差组合,0.6132013384004927,0.0388731056815651,0.01380564041322689,0.053730196635117446,0.2803897188695979,0.05876195863764341,0.09364744322840672,0.36052194778343044
最大夏普组合,0.9183476025021831,1.3512067921298151e-17,0.08165239749781697,0.0,2.7226617578253054e-17,0.06630494465683734,0.10283430094842015,0.4016650502399502
